"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 04 17:24:47 GMT 2024","Sat May 04 17:24:47 GMT 2024","45","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [3] Help, Questions",""
"broken","Sat May 04 17:24:45 GMT 2024","Sat May 04 17:24:46 GMT 2024","1461","","Авторизация в приложении","","mobile.AuthorizationInTheApplicationTest","authorizationInTheApplication","Авторизация по логину и паролю",""
"broken","Sat May 04 17:24:47 GMT 2024","Sat May 04 17:24:47 GMT 2024","56","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [6] Surveys & Quizzes, Surveys & Quizzes",""
"broken","Sat May 04 17:24:47 GMT 2024","Sat May 04 17:24:47 GMT 2024","46","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [2] Tasks, Tasks",""
"broken","Sat May 04 17:24:46 GMT 2024","Sat May 04 17:24:46 GMT 2024","41","","Создание персонального курса","","mobile.CreatingACourseMobileTest","creatProgrammingCourseByPassingTheQuestions","Создание курса ПРИ прохождении опроса",""
"broken","Sat May 04 17:24:46 GMT 2024","Sat May 04 17:24:46 GMT 2024","38","","Блок Комментариев","","mobile.CommentsSectionTest","addCommentUnderAnArticle","Добавление комментария под статьёй",""
"broken","Sat May 04 17:24:47 GMT 2024","Sat May 04 17:24:47 GMT 2024","49","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [4] Groups, Community",""
"broken","Sat May 04 17:24:47 GMT 2024","Sat May 04 17:24:47 GMT 2024","79","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [5] Chat, Chat",""
"broken","Sat May 04 17:24:46 GMT 2024","Sat May 04 17:24:46 GMT 2024","41","","Создание персонального курса","","mobile.CreatingACourseMobileTest","creatProgrammingCourseWithoutTakingQuestions","Создание курса БЕЗ прохождения опроса",""
"broken","Sat May 04 17:24:46 GMT 2024","Sat May 04 17:24:46 GMT 2024","35","","Блок Комментариев","","mobile.CommentsSectionTest","checkCommentBlocks","Проверка блоков комментариев",""
"broken","Sat May 04 17:24:46 GMT 2024","Sat May 04 17:24:46 GMT 2024","22","","Лайки","","mobile.LikesUnderTheArticleTest","addLikeUnderTheArticle","Добавление лайка",""
"broken","Sat May 04 17:24:47 GMT 2024","Sat May 04 17:24:47 GMT 2024","24","","Разделы в приложении","","mobile.SectionsInTheApplicationMobileTest","openSectionsInTheApplication","Проверка разделов приложения [1] Course, Java course",""
